subj,subj_mean,subj_var,subj_stdev
111,194.57795135913508,496.15904917307535,22.274627924458702
112,222.1515889019953,15828.709096646688,125.81219772600225
100,168.01015486632411,620.2785648704296,24.905392285013892
127,202.40825134964217,1211.1966626228198,34.80225082696261
109,106.08745339370348,130.23060581469832,11.411862504197039
105,198.4130711308914,102796.5443922637,320.61900192013525
117,241.3502648706694,4418.097303223274,66.46876938249477
113,219.83993174329,1723.068740653876,41.50986317315291
125,209.33209018853725,717.0195295819917,26.777220348310834
124,211.5094588082213,977.5479003129096,31.265762429739492
119,242.23201306108976,15519.032082716194,124.57540721473157
115,211.08886828843012,2917.948449050908,54.01803818217493
102,185.20119707447648,385.2440136887729,19.627633929966517
101,191.53768705505234,451.2183146170505,21.241899976627572
107,197.959193760248,194.11976360700632,13.932686876801844
123,95.72816725175589,471.36937299677953,21.71104265107458
126,113.6487534507768,217.58198551473868,14.750660511134363
116,215.82341502340824,83205.18808955622,288.45309512909756
121,235.43011671370502,1859.175505979585,43.118157497504285
110,129.74548960135553,1199.7697105864058,34.637692050516385
